--- monitor start 2026-02-20T17:41:36-05:00 ---
2026-02-20T17:41:36.284866 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T17:46:36.566483 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T17:51:36.836377 pos=NONE today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T17:56:37.049771 pos=NONE today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:01:37.224498 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:06:37.401418 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:11:37.559713 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:16:37.721270 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:21:37.866536 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:26:37.999211 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:31:38.113034 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:36:38.232673 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:41:38.337138 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:46:38.428790 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:51:38.527560 pos=OPEN today=41W/0L pnl=$312.33 total=$490.81 streak=57
2026-02-20T18:56:37.646240 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:01:37.716893 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:06:37.804074 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:11:37.851135 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:16:37.883851 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:21:37.914162 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:26:37.945719 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:31:37.975420 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:36:38.004983 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:41:38.032278 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:46:38.055109 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:51:38.086241 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T19:56:38.112982 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T20:01:38.142193 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T20:06:38.170663 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
2026-02-20T20:11:38.202812 pos=OPEN today=0W/0L pnl=$0.00 total=$0.00 streak=0
